X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8475690.64803641,5319689.90839297,2023/05/03 00:00:00+00,1030,1516,900 ERIE BLVD E ,,Motor Vehicle,MV THEFT,43.0506856750001,-76.1384245259999,6025
-8479618.47099832,5315870.01927967,2023/05/27 00:00:00+00,2100,2300,700 STINARD AVE    ,,All Other,LARCENY,43.0256051170001,-76.17370876,6026
-8480405.83342274,5320960.96727665,2023/10/12 00:00:00+00,2200,800,900 HIAWATHA BLVD W ,,Motor Vehicle,MV THEFT,43.0590288970001,-76.180781757,6027
-8477986.40503449,5317491.45253877,2023/12/07 00:00:00+00,2242,2242,700 TALLMAN ST     ,Yes,,BURGLARY,43.036252346,-76.159047662,6028
-8480405.83342274,5320960.96727665,2023/08/28 00:00:00+00,1200,1700,900 HIAWATHA BLVD W ,,From Building,BURGLARY,43.0590288970001,-76.180781757,6029
-8473867.55660186,5320637.58034402,2023/08/07 00:00:00+00,1200,1200,700 TEALL AV   ,,All Other,LARCENY,43.056906295,-76.122047417,6030
-8480405.83342274,5320960.96727665,2023/03/06 00:00:00+00,0000,1603,900 HIAWATHA BLVD W ,,From Motor Vehicle,LARCENY,43.0590288970001,-76.180781757,6031
-8473867.55660186,5320637.58034402,2023/04/18 00:00:00+00,2300,1456,700 TEALL AV   ,,Of MV Parts/Accessories,MV THEFT,43.056906295,-76.122047417,6032
-8480405.83342274,5320960.96727665,2023/04/07 00:00:00+00,1812,1812,900 HIAWATHA BLVD W ,Yes,Motor Vehicle,MV THEFT,43.0590288970001,-76.180781757,6033
-8480405.83342274,5320960.96727665,2023/12/06 00:00:00+00,0235,235,900 HIAWATHA BLVD W ,,From Building,BURGLARY,43.0590288970001,-76.180781757,6034
-8473867.55660186,5320637.58034402,2023/02/23 00:00:00+00,2330,800,700 TEALL AV   ,,From Building,LARCENY,43.056906295,-76.122047417,6035
-8480405.83342274,5320960.96727665,2023/02/14 00:00:00+00,2337,2337,900 HIAWATHA BLVD W ,,Motor Vehicle,MV THEFT,43.0590288970001,-76.180781757,6036
-8473867.55660186,5320637.58034402,2023/08/14 00:00:00+00,2300,122,700 TEALL AV   ,,Motor Vehicle,BURGLARY,43.056906295,-76.122047417,6037
-8475701.13622487,5320682.19898866,2023/07/02 00:00:00+00,1700,827,900 JAMES ST     ,,All Other,LARCENY,43.057199161,-76.138518743,6038
-8475701.13622487,5320682.19898866,2023/12/22 00:00:00+00,0440,1900,900 JAMES ST     ,,From Motor Vehicle,LARCENY,43.057199161,-76.138518743,6039
-8475701.13622487,5320682.19898866,2023/04/16 00:00:00+00,1730,1730,900 JAMES ST     ,,From Building,LARCENY,43.057199161,-76.138518743,6040
-8475701.13622487,5320682.19898866,2023/03/01 00:00:00+00,1830,1830,900 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.057199161,-76.138518743,6041
-8475701.13622487,5320682.19898866,2023/03/13 00:00:00+00,1159,1425,900 JAMES ST     ,,All Other,LARCENY,43.057199161,-76.138518743,6042
-8475701.13622487,5320682.19898866,2023/03/25 00:00:00+00,0930,553,900 JAMES ST     ,,From Motor Vehicle,LARCENY,43.057199161,-76.138518743,6043
-8475701.13622487,5320682.19898866,2023/04/03 00:00:00+00,1627,1627,900 JAMES ST     ,,Motor Vehicle,MV THEFT,43.057199161,-76.138518743,6044
-8475701.13622487,5320682.19898866,2023/09/01 00:00:00+00,1900,1900,900 JAMES ST     ,,From Building,BURGLARY,43.057199161,-76.138518743,6045
-8475701.13622487,5320682.19898866,2023/11/04 00:00:00+00,0510,510,900 JAMES ST     ,,Motor Vehicle,MV THEFT,43.057199161,-76.138518743,6046
-8475701.13622487,5320682.19898866,2023/10/29 00:00:00+00,0101,101,900 JAMES ST     ,,Motor Vehicle,MV THEFT,43.057199161,-76.138518743,6047
-8475701.13622487,5320682.19898866,2023/04/04 00:00:00+00,1525,1609,900 JAMES ST     ,,From Mailbox,LARCENY,43.057199161,-76.138518743,6048
-8475701.13622487,5320682.19898866,2023/05/16 00:00:00+00,1300,1300,900 JAMES ST     ,,,AGGRAVATED ASSAULT,43.057199161,-76.138518743,6049
-8477059.71257504,5322189.78817663,2023/05/28 00:00:00+00,1527,1527,600 CARBON ST     ,,From Motor Vehicle,LARCENY,43.0670937900001,-76.150723042,6050
-8475701.13622487,5320682.19898866,2023/08/14 00:00:00+00,0620,620,900 JAMES ST     ,,,BURGLARY,43.057199161,-76.138518743,6051
-8475701.13622487,5320682.19898866,2023/04/27 00:00:00+00,1150,1150,900 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.057199161,-76.138518743,6052
-8475701.13622487,5320682.19898866,2023/05/18 00:00:00+00,0400,400,900 JAMES ST     ,Yes,All Other,BURGLARY,43.057199161,-76.138518743,6053
-8475701.13622487,5320682.19898866,2023/04/26 00:00:00+00,1630,1630,900 JAMES ST     ,,,AGGRAVATED ASSAULT,43.057199161,-76.138518743,6054
-8475701.13622487,5320682.19898866,2023/04/06 00:00:00+00,2205,2205,900 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.057199161,-76.138518743,6055
-8475701.13622487,5320682.19898866,2023/05/18 00:00:00+00,0100,100,900 JAMES ST     ,,From Building,BURGLARY,43.057199161,-76.138518743,6056
-8475701.13622487,5320682.19898866,2023/10/29 00:00:00+00,0650,715,900 JAMES ST     ,Yes,Motor Vehicle,MV THEFT,43.057199161,-76.138518743,6057
-8475701.13622487,5320682.19898866,2023/01/28 00:00:00+00,2315,2340,900 JAMES ST     ,,From Motor Vehicle,LARCENY,43.057199161,-76.138518743,6058
-8475701.13622487,5320682.19898866,2023/02/13 00:00:00+00,2200,0,900 JAMES ST     ,,From Building,BURGLARY,43.057199161,-76.138518743,6059
-8475701.13622487,5320682.19898866,2023/10/27 00:00:00+00,0000,200,900 JAMES ST     ,,From Building,BURGLARY,43.057199161,-76.138518743,6060
-8475701.13622487,5320682.19898866,2023/10/09 00:00:00+00,0137,137,900 JAMES ST     ,,From Building,BURGLARY,43.057199161,-76.138518743,6061
-8475230.22505651,5318868.76183981,2023/12/10 00:00:00+00,1520,1520,900 MADISON ST     ,,From Motor Vehicle,LARCENY,43.0452950710001,-76.1342884759999,6062
-8475230.22505651,5318868.76183981,2023/12/17 00:00:00+00,1017,1017,900 MADISON ST     ,,Motor Vehicle,MV THEFT,43.0452950710001,-76.1342884759999,6063
-8475230.22505651,5318868.76183981,2023/09/18 00:00:00+00,1345,928,900 MADISON ST     ,,From Motor Vehicle,LARCENY,43.0452950710001,-76.1342884759999,6064
-8475230.22505651,5318868.76183981,2023/12/06 00:00:00+00,1845,1147,900 MADISON ST     ,,All Other,LARCENY,43.0452950710001,-76.1342884759999,6065
-8475230.22505651,5318868.76183981,2023/05/08 00:00:00+00,1800,1800,900 MADISON ST     ,,Motor Vehicle,MV THEFT,43.0452950710001,-76.1342884759999,6066
-8475230.22505651,5318868.76183981,2023/05/07 00:00:00+00,2256,2256,900 MADISON ST     ,,Motor Vehicle,MV THEFT,43.0452950710001,-76.1342884759999,6067
-8475230.22505651,5318868.76183981,2023/01/03 00:00:00+00,0000,1637,900 MADISON ST     ,,From Building,BURGLARY,43.0452950710001,-76.1342884759999,6068
-8477364.16214284,5316608.85458953,2023/08/19 00:00:00+00,1143,1143,900 MIDLAND AV   ,Yes,,AGGRAVATED ASSAULT,43.0304569480001,-76.153457959,6069
